Date,Sales
2023-01-01,50.993428306022466
2023-01-02,49.72347139765763
2023-01-03,51.29537707620138
2023-01-04,53.04605971281605
2023-01-05,49.53169325055333
2023-01-06,49.53172608610164
2023-01-07,53.15842563101478
2023-01-08,51.53486945830582
2023-01-09,49.0610512281301
2023-01-10,51.08512008717193
2023-01-11,49.073164614375074
2023-01-12,49.06854049285948
2023-01-13,50.48392454313207
2023-01-14,46.1734395106844
2023-01-15,46.550164334973935
2023-01-16,48.875424941518055
2023-01-17,47.97433775933115
2023-01-18,50.628494665190544
2023-01-19,48.18395184895758
2023-01-20,47.17539259732942
2023-01-21,52.93129753784311
2023-01-22,49.54844739902693
2023-01-23,50.13505640937585
2023-01-24,47.15050362757309
2023-01-25,48.91123455094964
2023-01-26,50.22184517941973
2023-01-27,47.6980128451554
2023-01-28,50.75139603669135
2023-01-29,48.79872262016239
2023-01-30,49.41661250041345
2023-01-31,48.79658677554121
2023-02-01,53.70455636901787
2023-02-02,49.973005550524135
2023-02-03,47.8845781420882
2023-02-04,51.64508982420638
2023-02-05,47.558312700057954
2023-02-06,50.41772719000951
2023-02-07,46.08065975224045
2023-02-08,47.34362790220314
2023-02-09,50.39372247173824
2023-02-10,51.47693315999082
2023-02-11,50.34273656237994
2023-02-12,49.76870343522352
2023-02-13,49.39779260882142
2023-02-14,47.04295601926515
2023-02-15,48.560311583210584
2023-02-16,49.07872245808043
2023-02-17,52.11424445243783
2023-02-18,50.68723657913692
2023-02-19,46.47391968927453
2023-02-20,50.64816793878959
2023-02-21,49.22983543916737
2023-02-22,48.646155999388085
2023-02-23,51.22335257768174
2023-02-24,52.0619990449919
2023-02-25,51.8625602382324
2023-02-26,48.32156495355472
2023-02-27,49.38157524829757
2023-02-28,50.66252686280713
2023-03-01,51.95109025424472
2023-03-02,49.04165152430942
2023-03-03,49.62868204667237
2023-03-04,47.787330051987944
2023-03-05,47.60758675183866
2023-03-06,51.6250516447884
2023-03-07,52.71248005714165
2023-03-08,49.85597975683933
2023-03-09,52.00706579578405
2023-03-10,50.72327205009527
2023-03-11,48.709760490789755
2023-03-12,50.722791211016826
2023-03-13,53.07607313293194
2023-03-14,49.928347921780095
2023-03-15,53.12928731162801
2023-03-16,44.76050979182051
2023-03-17,51.64380500875045
2023-03-18,50.17409413647634
2023-03-19,49.401985299068265
2023-03-20,50.183521553071
2023-03-21,46.024862170798215
2023-03-22,49.56065622432497
2023-03-23,50.71422514302349
2023-03-24,52.95578808948303
2023-03-25,48.9634595634527
2023-03-26,48.38301279421363
2023-03-27,48.99648591283093
2023-03-28,51.830804235404145
2023-03-29,50.65750221931937
2023-03-30,48.94047959246592
2023-03-31,51.02653486622671
2023-04-01,50.19415509869608
2023-04-02,51.93728998106578
2023-04-03,48.59589381224529
2023-04-04,49.344675706804466
2023-04-05,49.21578369373569
2023-04-06,47.07297010373576
2023-04-07,50.592240554129155
2023-04-08,50.522110544359776
2023-04-09,50.010226913284924
2023-04-10,49.530825733249706
