date,value
2023-01-01,10.248357076505616
2023-01-02,10.54605410516497
2023-01-03,11.5340026378628
2023-01-04,12.526940414221102
2023-01-05,12.145840765591512
2023-01-06,12.569562910195508
2023-01-07,13.812810698278582
2023-01-08,13.646108545169264
2023-01-09,13.162694491944917
2023-01-10,13.696571950654024
2023-01-11,13.115064246909368
2023-01-12,12.933617870525728
2023-01-13,13.013651118735407
2023-01-14,11.580290129351969
2023-01-15,11.25133154699119
2023-01-16,11.359045428504631
2023-01-17,10.628455037069125
2023-01-18,10.774837386859128
2023-01-19,9.655009160108685
2023-01-20,8.922640947162353
2023-01-21,9.928834188550075
2023-01-22,8.715067688878431
2023-01-23,8.573362535053683
2023-01-24,7.6306793702631595
2023-01-25,7.974960273477169
2023-01-26,8.312583800809676
2023-01-27,7.798910572305309
2023-01-28,8.784456656756303
2023-01-29,8.617251450512816
2023-01-30,9.181763490090166
2023-01-31,9.51299933479176
2023-02-01,11.286836363781063
2023-02-02,10.943626858092985
2023-02-03,11.034730343514052
2023-02-04,12.591457298521187
2023-02-05,12.169486055076074
2023-02-06,13.447525870560009
2023-02-07,12.871554849803468
2023-02-08,13.624312913492588
2023-02-09,14.73873380005406
2023-02-10,15.265521630537375
2023-02-11,15.134684114945694
2023-02-12,15.036947770686947
2023-02-13,14.883212581453646
2023-02-14,14.130697520277824
2023-02-15,14.251091323022635
2023-02-16,14.03767324481039
2023-02-17,14.383529046762638
2023-02-18,13.5603251258224
2023-02-19,12.005605038382434
2023-02-20,12.532575828853076
2023-02-21,11.666483421766495
2023-02-22,11.034236825523783
2023-02-23,11.236591270094245
2023-02-24,11.066301663999807
2023-02-25,10.713877446323355
2023-02-26,9.61607504432395
2023-02-27,9.767938486867381
2023-02-28,10.08029803934092
2023-03-01,10.501901272455086
2023-03-02,9.979583870504472
2023-03-03,10.431425043517025
2023-03-04,10.367093603342989
2023-03-05,10.796715757878722
2023-03-06,12.339009110076521
2023-03-07,13.194712785465946
2023-03-08,13.091260959844679
2023-03-09,14.246479735003435
2023-03-10,14.529457535282
2023-03-11,14.596673609543041
2023-03-12,15.618574411234022
2023-03-13,16.6568274728589
2023-03-14,16.236817069290712
2023-03-15,17.309630263497237
2023-03-16,15.387716512115258
2023-03-17,17.172228412542157
2023-03-18,16.761415469884085
2023-03-19,16.42128015580566
2023-03-20,1.3728950208222344
2023-03-21,15.003320334801536
2023-03-22,5.484821046887214
2023-03-23,20.31442570245013
2023-03-24,20.377903193868434
2023-03-25,18.86436043617905
2023-03-26,18.20548267732114
2023-03-27,17.866960757031293
2023-03-28,18.12492456304272
