timestep,value
0,0.9934283060224653
1,1.0268037333006732
2,3.8822759478499336
3,6.87730523966283
4,4.549229991570481
5,5.659578609026369
6,10.30389669030167
7,9.59000188606371
8,7.904330483150248
9,10.583390611832124
10,9.083729777326612
11,9.441413000146374
12,11.064191827414785
13,6.803706794967121
14,7.07303684226082
15,9.135990104469593
16,7.822608283991348
17,9.921773920210697
18,6.789084276715473
19,4.970863656616306
20,9.80915006076784
21,5.415984140044079
22,4.916301936222629
23,0.7874024992216393
24,1.36456688659268
25,1.4718451794197336
26,-2.255319490487649
27,-0.3855028349572023
28,-3.4825229066843897
29,-3.9509242406037073
30,-5.58126574738352
31,-1.5909146902690083
32,-6.1321268772337625
33,-8.908701112931954
34,-5.703180700453818
35,-10.20225246289358
36,-7.605145317277375
37,-12.049607532042268
38,-10.736639382079577
39,-7.479150035548641
40,-6.033632002960717
41,-6.6555339622802565
42,-6.574575819796631
43,-6.1573398189364745
44,-7.6025150400217445
45,-5.06754093971415
46,-3.4388142829367347
47,0.7829989255910528
48,0.6003377074883693
49,-2.3294126463685147
50,3.1481679387895873
51,3.033167774810409
52,3.7330548710366322
53,7.554598104528519
54,9.57953578600905
55,10.490412761157126
56,7.96703601284161
57,9.936707676055459
58,12.005806117827282
59,13.94936077890491
60,11.552216687260954
61,12.501554553959252
62,10.86759733627066
63,10.737854036121375
64,14.647924152075284
65,15.473045220093184
66,12.204250281499524
67,13.8003450508042
68,11.828404477853155
69,9.005231550076635
70,10.100643733941562
71,11.443609873949084
72,7.209593448626877
73,9.266186183276568
74,-0.28615787253644953
75,5.393805008750451
76,2.720761800833311
77,0.7650864274197171
78,0.402276026224232
79,-4.842674570218941
80,-2.317196298599752
81,-2.0812459162633865
82,-0.6493443382748496
83,-5.329819691567451
84,-6.46525773044657
85,-6.2640792501206075
86,-3.6920682718827367
87,-4.972765064963345
88,-6.639787691816793
89,-4.346337641060174
90,-4.816410064255457
91,-2.56098054359442
92,-5.247385442774864
93,-3.7104567209534345
94,-2.9296873655511995
95,-4.054882419188971
96,0.5747038131119909
97,1.6908650175129982
98,2.4233280416363656
99,3.2274933976066658
100,2.169258515899166
101,5.462041690112313
102,6.901469838595008
